artist;song;duration_ms;year;tempo;genre;energy;key;loudness
Ray J;One Wish;337640;2005;127.673;hip hop, pop, R&B;0.652;5;-7.042
Bad Bunny;Callaita;250533;2019;176.169;latin;0.624;2;-4.773
DaBaby;Suge;163320;2019;75.445;hip hop;0.662;2;-6.482
Sia;Cheap Thrills (feat. Sean Paul);224813;2016;89.972;pop;0.8;6;-4.931
Chris Brown;With You;252120;2007;86.009;hip hop, pop, R&B;0.693;3;-4.298
Daddy Yankee;Dura;200480;2018;95.001;latin;0.84;1;-3.416
DJ Khaled;No Brainer;260000;2018;135.702;hip hop, pop;0.76;0;-4.706
Faith Hill;There You'll Be;222120;2001;128.98;pop, country;0.511;8;-7.77
Plies;Bust It Baby, Pt. 2 (feat. Ne-Yo);240760;2008;78.946;hip hop, pop, R&B;0.801;5;-7.24
Keane;Is It Any Wonder?;186173;2006;129.352;pop;0.955;11;-2.771
Blue;Sorry Seems To Be The Hardest Word;210066;2004;78.955;pop;0.6;7;-6.814
Mýa;Case Of The Ex (Whatcha Gonna Do);236906;2000;98.0;pop, R&B;0.688;1;-4.715
Katy Perry;E.T.;229573;2012;151.684;pop;0.869;1;-5.252
La Roux;Bulletproof;205733;2009;123.016;pop, Dance/Electronic;0.882;3;-2.771
Tyga;Taste (feat. Offset);232959;2018;97.994;hip hop, pop;0.559;0;-7.442
Calvin Harris;One Kiss (with Dua Lipa);214846;2018;123.994;hip hop, pop, Dance/Electronic;0.862;9;-3.24
Robyn;With Every Heartbeat;254920;2005;120.872;pop, Dance/Electronic;0.865;4;-4.462
Sean Paul;Gimme the Light;228000;2002;107.288;hip hop, pop;0.761;2;-5.529
Alexandra Burke;Hallelujah;217826;2009;182.571;pop;0.425;2;-6.211
Jeremih;Down On Me;228453;2010;160.041;hip hop, pop, R&B;0.598;2;-7.783
Little Mix;Shout Out to My Ex;246240;2017;126.014;pop;0.747;5;-4.061
JAY-Z;Dirt Off Your Shoulder;245173;2003;163.971;hip hop;0.655;1;-7.147
Justin Timberlake;Cry Me a River;288333;2002;73.898;pop;0.654;8;-6.582
Calvin Harris;Bounce (feat. Kelis) - Radio Edit;222186;2012;127.941;hip hop, pop, Dance/Electronic;0.963;2;-2.125
Eric Prydz;Pjanoo - Radio Edit;157432;2008;125.99;pop, Dance/Electronic;0.874;7;-4.949
Beyoncé;Irreplaceable;227853;2007;175.868;pop, R&B;0.694;7;-4.637
G-Unit;Wanna Get To Know You;265026;2003;76.91;hip hop, pop;0.826;10;-3.651
Fergie;Big Girls Don't Cry (Personal);268120;2006;113.082;pop, R&B;0.641;7;-4.296
Drake;Jumpman;205879;2015;142.079;hip hop, pop, R&B;0.553;1;-7.286
Kelis;Bossy;273973;2006;84.021;pop, R&B, Dance/Electronic;0.633;4;-5.316
Klaxons;Golden Skans;165120;2007;141.955;rock;0.836;2;-2.776
Kelis;Milkshake;182626;2003;112.968;pop, R&B, Dance/Electronic;0.774;1;-6.068
Yung Joc;It's Goin' Down (feat. Nitti);241840;2006;84.003;hip hop, pop;0.577;1;-7.702
Akon;Bananza (Belly Dancer);238493;2004;104.838;pop;0.699;10;-5.897
DJ Snake;Turn Down for What;213733;2013;100.014;hip hop, pop, Dance/Electronic;0.799;1;-4.1
Justin Timberlake;"CAN'T STOP THE FEELING! (from DreamWorks Animation's ""TROLLS"")";236001;2016;113.03;pop;0.83;0;-5.715
Diddy - Dirty Money;Coming Home;238693;2010;168.001;hip hop, pop, R&B;0.839;7;-1.921
Coldplay;Princess of China;239215;2011;85.014;rock, pop;0.69;9;-6.221
KALEO;Way down We Go;219560;2015;81.663;rock, classical;0.578;10;-5.798
Enrique Iglesias;Be With You;219360;1999;121.996;pop, latin;0.866;1;-5.436
Truth Hurts;Addictive;226440;2002;99.271;pop, R&B;0.677;11;-6.591
Flo Rida;My House;192190;2015;94.006;hip hop, pop;0.702;7;-4.792
Nickelback;When We Stand Together;190786;2011;187.961;rock, metal;0.9;10;-3.541
Eminem;Berzerk;238746;2013;95.084;hip hop;0.872;11;-4.059
AWOLNATION;Sail;259102;2011;119.038;pop, rock;0.435;1;-9.582
A1;Caught in the Middle;206466;2001;96.072;pop;0.874;5;-5.122
Camila Cabello;Havana (feat. Young Thug);216896;2017;104.992;pop;0.517;7;-4.323
John Legend;Green Light (feat. André 3000);284186;2008;77.506;pop, R&B;0.882;9;-5.59
O.T. Genasis;CoCo;239573;2014;119.906;hip hop, pop;0.628;8;-5.949
Fergie;Glamorous;246600;2006;130.993;pop, R&B;0.757;0;-6.447
Shawn Mendes;Treat You Better;187973;2017;82.695;pop;0.819;10;-4.078
Usher;Caught Up;224640;2004;110.086;hip hop, pop, R&B;0.806;6;-4.606
Matchbox Twenty;Bent;256133;2000;95.468;pop, rock;0.83;6;-6.814
Maroon 5;"Moves Like Jagger - Studio Recording From ""The Voice"" Performance";201493;2010;128.044;pop;0.761;11;-4.459
Puddle Of Mudd;Blurry;303920;2001;157.469;rock, metal;0.936;3;-4.537
Snoop Dogg;Young, Wild & Free (feat. Bruno Mars);207333;2011;95.078;hip hop, pop;0.655;0;-6.425
Ariana Grande;Dangerous Woman;235946;2016;134.052;pop;0.604;7;-5.32
Lil Dicky;Freaky Friday (feat. Chris Brown);216631;2018;133.123;hip hop, pop;0.599;8;-5.042
Billie Eilish;bad guy;194087;2019;135.128;pop, Dance/Electronic;0.425;7;-10.965
will.i.am;Scream & Shout;283400;2013;130.033;hip hop, pop;0.685;5;-6.849
Jason Derulo;Ridin' Solo;215746;2010;89.338;hip hop, pop;0.83;9;-4.02
Maroon 5;Maps;189840;2014;120.003;pop;0.723;1;-5.51
Avril Lavigne;Sk8er Boi;204000;2002;149.937;pop;0.9;0;-4.417
Savage Garden;Crash and Burn;281466;1999;102.03;pop;0.607;4;-8.458
JAY-Z;Run This Town;267520;2009;86.844;hip hop;0.924;1;-1.802
Icona Pop;I Love It (feat. Charli XCX);157152;2013;125.916;pop, Dance/Electronic;0.906;8;-2.671
Debelah Morgan;Dance with Me;220106;2000;115.005;pop, R&B;0.674;7;-7.981
Christina Aguilera;Fighter;245960;2002;188.899;pop;0.92;4;-1.357
Billie Eilish;lovely (with Khalid);200185;2018;115.284;pop, Dance/Electronic;0.296;4;-10.109
Dynoro;In My Mind;184560;2018;125.905;pop, Dance/Electronic;0.77;6;-5.335
Foo Fighters;Best of You;255626;2005;130.198;rock, metal;0.94;1;-5.119
Disclosure;White Noise;277687;2013;119.978;pop, Dance/Electronic;0.844;10;-6.164
Train;Drops of Jupiter (Tell Me);259933;2001;79.064;pop;0.638;0;-5.862
Santana;Maria Maria (feat. The Product G&B);261973;1999;97.911;rock, blues, latin;0.601;2;-5.931
ScHoolboy Q;Hands on the Wheel (feat. Asap Rocky);197131;2012;127.839;hip hop, pop;0.784;1;-7.471
Avicii;Levels - Radio Edit;199906;2011;126.04;pop, Dance/Electronic;0.889;1;-5.941
Lil Wayne;6 Foot 7 Foot;248586;2011;79.119;hip hop, pop;0.752;2;-5.429
Tamia;Stranger in My House;285386;2000;119.94;pop, R&B;0.601;0;-4.905
Marshmello;Alone;273802;2016;141.99;pop, Dance/Electronic;0.953;2;-3.739
Bon Jovi;It's My Life;224493;2000;119.992;rock, metal;0.913;0;-4.063
Fetty Wap;679 (feat. Remy Boyz);196693;2015;190.05;hip hop, pop;0.717;7;-5.738
Ariana Grande;Love Me Harder;236133;2014;98.992;pop;0.714;1;-4.389
James Blunt;Bonfire Heart;238000;2013;118.021;pop;0.821;0;-5.7
JAY-Z;I Just Wanna Love U (Give It 2 Me);227866;2000;98.631;hip hop;0.922;4;-5.125
Tom Jones;Sexbomb;211893;1999;122.979;rock, Folk/Acoustic, easy listening;0.876;8;-3.94
Take That;Rule The World - Radio Edit;237760;2007;164.054;pop;0.774;2;-4.226
Lady Gaga;Poker Face;237200;2008;118.999;pop;0.806;4;-4.62
Justin Timberlake;LoveStoned / I Think She Knows (Interlude);444333;2006;121.243;pop;0.681;1;-6.247
Selena Gomez;Kill Em With Kindness;217906;2015;120.012;pop;0.884;10;-5.488
Britney Spears;Break the Ice;196053;2007;117.533;pop;0.911;5;-3.866
Big Brovaz;Nu Flow;201480;2001;148.062;pop;0.726;7;-8.718
David Guetta;Without You (feat. Usher);208133;2012;127.884;hip hop, pop, Dance/Electronic;0.614;2;-3.727
MGMT;Little Dark Age;299960;2018;97.512;rock;0.712;6;-6.156
50 Cent;Ayo Technology;247946;2007;140.144;hip hop, pop;0.782;8;-5.44
Pharrell Williams;Frontin' (feat. Jay-Z) - Club Mix;236506;2003;102.009;hip hop, pop;0.404;9;-5.913
Coldplay;Paradise;278719;2011;139.631;rock, pop;0.585;5;-6.761
Avril Lavigne;I'm with You;223066;2002;151.95;pop;0.406;9;-7.462
Panic! At The Disco;I Write Sins Not Tragedies;185586;2005;169.961;rock;0.815;9;-4.481
Cardi B;Bodak Yellow;223712;2018;125.022;hip hop, pop;0.703;11;-6.337
Christina Perri;human;250706;2013;143.808;pop;0.489;8;-6.286
James Blunt;1973;280026;2007;123.007;pop;0.668;9;-7.928
Major Lazer;Cold Water (feat. Justin Bieber & MØ);185351;2016;92.943;hip hop, pop, Dance/Electronic;0.798;6;-5.092
Cali Swag District;Teach Me How to Dougie;237480;2011;85.013;hip hop, pop;0.438;11;-4.981
Hoobastank;The Reason;232800;2003;82.952;pop, rock, metal;0.671;4;-4.649
Outkast;Hey Ya!;235213;2003;79.526;hip hop, pop;0.974;4;-2.261
Nelly;Hey Porsche;209466;2013;115.995;hip hop, pop, R&B;0.795;9;-4.653
Young Money;BedRock;288133;2009;148.005;hip hop, pop;0.664;8;-6.163
Avril Lavigne;Girlfriend;216600;2007;163.983;pop;0.959;7;-2.433
So Solid Crew;21 Seconds;302826;2001;137.03;Dance/Electronic;0.637;1;-11.072
Missy Elliott;Hot Boyz;215466;1998;81.125;hip hop, pop, R&B;0.445;1;-11.241
Jay Sean;Down;212106;2009;65.997;hip hop, pop, R&B;0.695;2;-4.493
Birdy;Wings;252106;2013;83.235;pop;0.707;7;-4.534
Coldplay;Clocks;307879;2002;130.97;rock, pop;0.749;5;-7.215
Kanye West;Flashing Lights;237506;2007;90.482;hip hop;0.628;6;-7.578
Wiz Khalifa;Black and Yellow;217666;2011;164.02;hip hop, pop;0.834;2;-4.524
Sean Paul;I'm Still in Love with You (feat. Sasha);273360;2002;87.002;hip hop, pop;0.666;7;-5.384
Nelly;My Place;336506;2004;163.153;hip hop, pop, R&B;0.641;1;-4.237
Brian McFadden;Almost Here;229826;2004;77.984;set();0.452;9;-7.324
Maluma;Corazón (feat. Nego do Borel);184720;2018;198.075;latin;0.738;9;-6.073
Timbaland;Give It To Me;234026;2007;110.621;hip hop, pop, R&B;0.711;8;-3.904
Gotye;Somebody That I Used To Know;244884;2011;129.054;set();0.527;0;-6.896
Chamillionaire;Ridin';303053;2005;143.052;hip hop, pop;0.799;8;-4.68
Stromae;Alors on danse - Radio Edit;206066;2010;119.951;pop;0.59;1;-9.206
Burak Yeter;Tuesday (feat. Danelle Sandoval);241874;2016;99.002;Dance/Electronic;0.639;9;-6.052
Missy Elliott;Lose Control (feat. Ciara & Fat Man Scoop);226863;2005;125.461;hip hop, pop, R&B;0.813;4;-7.105
Bruno Mars;The Lazy Song;189109;2010;174.915;pop;0.711;8;-5.124
Alec Benjamin;Let Me Down Slowly;169353;2018;150.073;rock, pop, Dance/Electronic;0.557;1;-5.714
Travie McCoy;Billionaire (feat. Bruno Mars);211160;2010;86.776;hip hop, pop;0.673;6;-6.403
Imagine Dragons;Believer;204346;2017;124.982;rock;0.787;10;-4.305
Gwen Stefani;The Sweet Escape;246466;2006;119.961;pop, R&B;0.77;1;-3.502
Usher;OMG (feat. will.i.am);269493;2010;129.998;hip hop, pop, R&B;0.745;4;-5.81
Sean Paul;Like Glue;232506;2002;97.917;hip hop, pop;0.78;1;-5.038
S Club 7;Have You Ever;201533;2001;139.909;pop;0.702;0;-5.734
2 Chainz;It's A Vibe;210200;2017;73.003;hip hop, pop;0.502;7;-7.38
NSG;Options;240081;2020;101.993;World/Traditional, hip hop;0.621;1;-4.684
Mariah Carey;We Belong Together;201400;2005;139.987;pop, R&B;0.476;0;-7.918
Kiiara;Gold;225882;2015;113.049;rock, pop, Dance/Electronic;0.412;8;-9.343
Ludacris;Get Back;270746;2004;171.609;hip hop, pop;0.639;1;-5.16
Faith Hill;Breathe;250546;1999;136.859;pop, country;0.496;7;-9.007
No Doubt;Hey Baby;207040;2001;93.63;rock, pop;0.872;11;-3.557
Fedde Le Grand;Put Your Hands Up For Detroit - Radio Edit;150533;2015;127.995;pop, Dance/Electronic;0.931;7;-4.474
Boys Like Girls;Love Drunk;226706;2009;150.005;pop;0.976;10;-3.17
Bomfunk MC's;Freestyler;306333;2000;163.826;pop;0.922;11;-5.798
Tove Lo;Cool Girl;197815;2016;101.983;pop, Dance/Electronic;0.71;9;-7.042
Natasha Bedingfield;Pocketful of Sunshine;203440;2008;110.019;pop;0.881;9;-3.892
Wyclef Jean;Sweetest Girl (Dollar Bill) (feat. Akon, Lil' Wayne & Niia);241133;2007;92.515;set();0.744;1;-3.51
JLS;Everybody in Love;195586;2013;140.022;pop;0.783;5;-5.971
Adele;Rolling in the Deep;228093;2011;104.948;pop, R&B;0.77;8;-5.114
Neon Trees;Animal;212306;2010;147.99;rock, pop;0.829;5;-5.576
Little Mix;Wings;219733;2012;114.962;pop;0.875;7;-3.141
Billie Eilish;lovely (with Khalid);200185;2018;115.284;pop, Dance/Electronic;0.296;4;-10.109
David Guetta;She Wolf (Falling to Pieces) [feat. Sia];222500;2012;129.973;hip hop, pop, Dance/Electronic;0.857;7;-2.634
Robin Schulz;Sugar (feat. Francesco Yates);219043;2015;123.063;pop, Dance/Electronic;0.815;5;-5.098
Lady Gaga;Born This Way;260253;2011;123.907;pop;0.828;11;-5.108
DJ Snake;You Know You Like It;247266;2014;196.093;hip hop, pop, Dance/Electronic;0.725;5;-5.346
Charlie Puth;How Long;200853;2018;109.974;pop;0.561;1;-5.253
Carrie Underwood;Blown Away;240133;2012;136.991;pop, country;0.843;9;-2.569
Alesso;Heroes (we could be);209866;2014;125.876;pop, Dance/Electronic;0.754;5;-4.144
Rihanna;Where Have You Been;242680;2011;127.963;hip hop, pop, R&B;0.847;0;-6.34
Maroon 5;Makes Me Wonder;211080;2007;113.996;pop;0.851;7;-2.429
Drake;Pop Style;212946;2016;133.053;hip hop, pop, R&B;0.462;7;-10.027
P!nk;Sober;251440;2010;91.066;pop;0.792;6;-4.907
AJ Tracey;Ladbroke Grove;190537;2019;133.986;hip hop, Dance/Electronic;0.839;11;-9.447
A Boogie Wit da Hoodie;Look Back at It;179449;2018;96.057;hip hop;0.587;3;-5.075
Bazzi;Mine;131064;2018;142.929;pop, Dance/Electronic;0.789;4;-3.874
Wiley;Boasty (feat. Idris Elba);177185;2019;102.958;hip hop, Dance/Electronic;0.765;2;-5.207
PARTYNEXTDOOR;Not Nice;202661;2016;128.06;hip hop, pop, R&B;0.496;0;-9.309
Britney Spears;Gimme More;251240;2007;113.324;pop;0.844;2;-3.131
Outkast;The Way You Move (feat. Sleepy Brown);234000;2003;125.999;hip hop, pop;0.597;5;-4.932
Nickelback;Rockstar;252040;2005;144.072;rock, metal;0.91;0;-3.004
Kanye West;Gold Digger;207626;2005;93.034;hip hop;0.696;1;-5.572
Tom Odell;Another Love;244360;2013;122.769;pop;0.537;4;-8.532
Rihanna;Bitch Better Have My Money;219305;2015;102.99;hip hop, pop, R&B;0.728;1;-4.981
Miley Cyrus;Can't Be Tamed;168213;2010;116.98;pop;0.91;11;-2.919
Sugababes;Too Lost In You;237693;2003;98.014;pop, R&B;0.705;1;-4.904
Rita Ora;I Will Never Let You Down;203466;2014;128.011;hip hop, pop, Dance/Electronic;0.801;4;-3.215
Sia;Elastic Heart;257200;2014;130.075;pop;0.791;9;-4.998
Nick Lachey;What's Left Of Me;244613;2006;149.965;pop;0.742;7;-5.665
T.I.;What You Know;274333;2006;73.464;hip hop, pop;0.81;11;-4.365
The Shapeshifters;Lola's Theme - Radio Edit;207066;2004;123.925;Dance/Electronic;0.845;5;-4.612
Jason Derulo;Whatcha Say;221253;2010;144.036;hip hop, pop;0.711;11;-5.507
Keyshia Cole;Love;255333;2005;116.714;hip hop, pop, R&B;0.519;5;-4.285
Tory Lanez;Say It;237786;2016;107.331;hip hop, pop, R&B;0.529;11;-10.511
Shakira;Underneath Your Clothes;224066;2001;165.508;pop, latin;0.597;8;-5.328
Swedish House Mafia;Save The World;213337;2011;126.879;pop, Dance/Electronic;0.665;0;-7.598
Eminem;Shake That;274440;2005;107.005;hip hop;0.643;1;-5.785
Destiny's Child;Say My Name;271333;1999;138.009;pop, R&B;0.678;5;-3.525
Mumford & Sons;Little Lion Man;245173;2009;138.585;Folk/Acoustic, rock, pop;0.492;5;-8.05
Switchfoot;Meant to Live;201373;2003;151.551;rock, pop;0.903;2;-4.577
Kylie Minogue;Love at First Sight;238266;2001;124.994;pop, Dance/Electronic;0.774;3;-6.066
Erick Sermon;Music (feat. Marvin Gaye);223133;2001;100.01;hip hop, pop;0.466;10;-9.053
Fabolous;Into You (feat. Tamia);295773;2003;182.12;hip hop, pop, R&B;0.538;7;-7.886
Rihanna;Only Girl (In The World);235493;2010;125.906;hip hop, pop, R&B;0.716;11;-4.241
Bastille;Of The Night;214205;2013;125.01;pop, rock;0.829;5;-7.2
The Saturdays;What About Us;220682;2013;123.973;pop, Dance/Electronic;0.68;7;-4.751
M.O;Bad Vibe;214253;2018;110.009;pop, Dance/Electronic;0.701;10;-4.428
Jennifer Lopez;On The Floor;284866;2011;130.0;hip hop, pop, R&B;0.777;3;-5.194
Tim Berg;Seek Bromance - Avicii’s Vocal Edit;203960;2010;126.026;pop, Dance/Electronic;0.837;11;-2.552
Aaliyah;Try Again;284000;2002;93.02;hip hop, pop, R&B;0.622;6;-5.642
Razorlight;America;249760;2006;90.933;rock, pop;0.568;2;-4.975
Mary J. Blige;No More Drama;326240;2001;97.914;pop, R&B;0.837;6;-6.818
Pitbull;Time of Our Lives;229360;2014;124.022;hip hop, pop, latin;0.802;1;-5.797
Sheppard;Geronimo;218227;2014;142.016;pop, rock, Dance/Electronic;0.771;7;-6.275
N.E.R.D;She Wants To Move;213786;2004;115.012;hip hop;0.851;5;-4.831
Rich The Kid;Plug Walk;175229;2018;94.981;hip hop, pop;0.519;11;-6.531
Jagged Edge;Where the Party At (feat. Nelly);232573;2001;129.491;hip hop, pop, R&B;0.661;5;-6.239
Mary Mary;Shackles (Praise You);198346;2000;100.46;R&B;0.834;7;-2.773
Céline Dion;That's the Way It Is;241373;1999;93.04;pop;0.886;9;-5.424
Madison Avenue;Don't Call Me Baby;228140;1999;124.999;Dance/Electronic;0.982;3;-6.588
Akon;Right Now (Na Na Na);240746;2008;137.982;pop;0.857;8;-4.194
Flo Rida;Club Can't Handle Me (feat. David Guetta);234560;2010;127.966;hip hop, pop;0.869;0;-3.911
Lorde;Royals;190185;2013;84.878;pop, Dance/Electronic;0.428;7;-9.504
Bruno Mars;24K Magic;225983;2016;106.97;pop;0.803;1;-4.282
The Roots;The Seed (2.0);267933;2002;111.121;hip hop;0.957;7;-2.281
T-Pain;Can't Believe It (feat. Lil' Wayne);273826;2008;89.828;hip hop, pop, R&B;0.516;10;-8.869
Madonna;Give It 2 Me;287906;2008;127.019;pop;0.954;8;-3.512
Lorde;Team;193058;2013;100.05;pop, Dance/Electronic;0.582;6;-7.444
Migos;Stir Fry;190288;2018;181.982;hip hop, pop;0.816;2;-5.402
The Notorious B.I.G.;Nasty Girl (feat. Diddy, Nelly, Jagged Edge & Avery Storm) - 2005 Remaster;286186;2005;106.328;hip hop;0.628;2;-7.041
Fall Out Boy;Thnks fr th Mmrs;203506;2007;154.837;rock;0.891;10;-5.057
Ciara;Promise;267413;2006;123.279;pop, R&B;0.629;9;-5.757
Jamiroquai;Little L;295400;2001;121.906;pop;0.724;10;-5.373
Lil Wayne;A Milli;221840;2008;151.486;hip hop, pop;0.695;6;-8.636
Wiz Khalifa;Roll Up;227773;2011;125.358;hip hop, pop;0.805;3;-5.473
D12;My Band;298773;2004;120.014;hip hop, pop, rock;0.849;1;-3.383
Mario Winans;I Don't Wanna Know (feat. Enya & P. Diddy) - 2016 Remaster;257333;2016;97.007;pop;0.515;11;-5.0
Rui Da Silva;Touch Me (Radio Edit) [feat. Cassandra];213133;2001;129.078;Dance/Electronic;0.922;0;-8.399
iio;Rapture (feat.Nadia Ali);253586;2006;123.943;Dance/Electronic;0.855;8;-8.403
50 Cent;21 Questions;224440;2003;92.729;hip hop, pop;0.813;6;-3.846
The Wanted;Chasing The Sun;198800;2012;128.108;pop, Dance/Electronic;0.732;7;-6.209
Jason Derulo;In My Head;199026;2010;110.009;hip hop, pop;0.748;0;-4.15
Jason Derulo;Trumpets;217306;2013;81.897;hip hop, pop;0.703;0;-4.884
Juice WRLD;Lucid Dreams;239835;2018;83.903;hip hop;0.566;6;-7.23
Eminem;Like Toy Soldiers;296880;2004;79.178;hip hop;0.768;8;-3.489
Christina Aguilera;Ain't No Other Man;228906;2006;127.91;pop;0.742;7;-4.722
Gabriella Cilmi;Sweet About Me;202133;2008;131.977;R&B;0.701;6;-5.035
Kanye West;Jesus Walks;193733;2004;87.312;hip hop;0.834;3;-4.686
Nickelback;Savin' Me;219320;2005;164.007;rock, metal;0.815;3;-4.088
Linkin Park;Faint;162600;2003;135.095;rock, metal;0.978;4;-3.554
Kaiser Chiefs;Everyday I Love You Less And Less;217706;2005;160.028;rock;0.956;1;-4.556
Dirty Vegas;Days Go By;432146;2002;126.99;Dance/Electronic;0.853;9;-8.274
Cardi B;I Like It;253390;2018;136.048;hip hop, pop;0.726;5;-3.998
Keri Hilson;Turnin Me On - Original Dirty;248066;2008;159.873;pop, R&B;0.584;1;-5.09
Migos;Walk It Talk It;276147;2018;145.914;hip hop, pop;0.633;2;-5.145
Gym Class Heroes;Ass Back Home (feat. Neon Hitch);222213;2011;130.034;hip hop, pop;0.838;10;-4.289
Kendrick Lamar;DNA.;185946;2017;139.928;hip hop;0.517;0;-6.759
Gnarls Barkley;Crazy;177466;2006;111.97;hip hop, R&B;0.587;8;-4.589
Diddy;I Need a Girl (Pt. 2) [feat. Loon, Ginuwine & Mario Winans];285586;2004;199.764;hip hop, pop;0.471;1;-7.392
Ashlee Simpson;Pieces Of Me;217440;2004;174.001;pop;0.799;2;-4.286
Sidney Samson;Riverside;320348;2009;125.997;Dance/Electronic;0.976;1;-2.458
Katy Perry;Firework;227893;2010;124.071;pop;0.832;8;-5.039
Foo Fighters;The Pretender;269373;2007;172.984;rock, metal;0.959;9;-4.04
Madonna;Hung Up;337733;2005;125.02;pop;0.647;9;-7.695
Lady Gaga;Telephone;220640;2009;122.014;pop;0.836;3;-5.903
Dizzee Rascal;Dance Wiv Me - Radio Edit;204093;2011;111.996;hip hop, pop, Dance/Electronic;0.746;11;-4.281
Shawn Mendes;Señorita;190799;2019;116.967;pop;0.548;9;-6.049
Jay Sean;Down;212106;2009;65.997;hip hop, pop, R&B;0.695;2;-4.493
Scouting For Girls;This Ain't a Love Song;210680;2017;176.667;pop, rock;0.905;0;-4.157
Jay Sean;Eyes On You - Radio Mix;190493;2004;96.525;hip hop, pop, R&B;0.672;7;-4.971
Ed Sheeran;Cross Me (feat. Chance the Rapper & PnB Rock);206186;2019;95.005;pop;0.787;4;-6.373
Britney Spears;Born to Make You Happy;243533;1999;84.11;pop;0.922;11;-4.842
Black Eyed Peas;Don't Phunk With My Heart;239773;2005;130.889;hip hop, pop;0.928;5;-2.76
Alan Walker;Faded;212106;2018;179.642;Dance/Electronic;0.627;6;-5.085
Ida Corr;Let Me Think About It;151973;2012;129.026;set();0.754;0;-3.425
Selena Gomez;The Heart Wants What It Wants;227360;2014;83.066;pop;0.789;7;-4.874
Blake Shelton;Sure Be Cool If You Did;215720;2013;136.802;country;0.726;11;-4.625
Baha Men;Who Let The Dogs Out;198400;2000;129.221;R&B;0.887;0;-4.505
The Ting Tings;Shut Up and Let Me Go;171226;2007;107.993;pop, rock, Dance/Electronic;0.927;7;-4.497
Demi Lovato;Cool for the Summer;214746;2015;114.101;pop;0.613;5;-5.593
Lupe Fiasco;Superstar (feat. Matthew Santos);289000;2007;94.812;hip hop, pop;0.822;11;-6.015
Red Hot Chili Peppers;Snow (Hey Oh);334666;2006;104.655;rock;0.9;11;-3.674
WILLOW;Wait a Minute!;196520;2015;101.003;pop, R&B, Dance/Electronic;0.705;3;-5.279
